Group,Name,Link,Image,Title
置顶网页,文献翻译,https://www.scholaread.cn/?ref=yanweb,https://yanweb.top/assets/img/svg/scholaread.jpg,文献翻译
置顶网页,笔灵AI论文,https://ibiling.cn/paper?from=kyfwpaper,https://yanweb.top/assets/img/svg/ibiling.png,笔灵AI论文
置顶网页,Ai论文生成(专业版),https://www.aibiye.com/?code=XCbZfA,https://yanweb.top/assets/img/svg/aibiye.jpg,Ai论文生成(专业版)
置顶网页,小绿鲸英文文献阅读器,https://www.xljsci.com/?channelCode=D1sGbF,https://yanweb.top/assets/img/svg/xiaolvjing.png,小绿鲸英文文献阅读器
置顶网页,降AI率神器,https://www.scholingo.cn/ai-writer/detector?source=kyfw1,https://yanweb.top/assets/img/svg/ai-writer.png,降AI率神器
置顶网页,iThenticate查重,https://www.citexs.com/citexs_iThenticate,https://yanweb.top/assets/img/svg/iThenticate.png,iThenticate查重
置顶网页,AI率降到20%,https://www.aigcleaner.com/?source=ky,https://yanweb.top/assets/img/svg/aigcleaner.jpg,AI率降到20%
置顶网页,AI导航,https://www.yanweb.top/more/ai/,SVG icon,AI导航
置顶网页,降重降AI,https://www.aigcleaner.com/?source=ggj,https://yanweb.top/assets/img/svg/ggj.jpg,降重降AI
置顶网页,AI写综述,https://www.xieasy.com/tools/literatureReviewMarket?code=yanweb,https://yanweb.top/assets/img/svg/xiyi.png,AI写综述
置顶网页,AI一键论文·包AI率,https://www.aipaperpass.com/?pic=OgkQ,https://yanweb.top/assets/img/svg/aipaperpass.jpg,AI一键论文·包AI率
置顶网页,免费AI论文,https://www.scholingo.cn/?source=kyfw2,https://yanweb.top/assets/img/svg/kaoanmiaoxie.png,免费AI论文
置顶网页,面试答案提词器,https://offergoose.cn/lp/winrar2/,https://yanweb.top/assets/img/svg/offergoose.jpg,面试答案提词器
置顶网页,PaperFake AI写论文,https://paperfake.cn/?q=yanweb,https://yanweb.top/assets/img/svg/paperFake.png,PaperFake AI写论文
置顶网页,PaperFake专业降AI,https://paperfake.cn/aigc/?q=yanweb,https://yanweb.top/assets/img/svg/papeerfake1.jpg,PaperFake专业降AI
置顶网页,科研神站,https://www.yanweb.top/more/keyanshenzhan/,SVG icon,科研神站
置顶网页,免费AI面试官,https://offergoose.cn/lp/winrar/,https://yanweb.top/assets/img/svg/offergoose1.jpg,免费AI面试官
置顶网页,DeepSeek满血版插件,https://www.deepsider.ai/,https://yanweb.top/assets/img/svg/deepsider.png,DeepSeek满血版插件
置顶网页,茅茅虫论文写作,https://www.mmc.cc/?fromId=8x1bo0y4,https://yanweb.top/assets/img/svg/mymmc.png,茅茅虫论文写作
置顶网页,笔目鱼英文论文写作器,https://www.bmysci.com/?channelCode=kyfwad,https://yanweb.top/assets/img/svg/bmysci.jpg,笔目鱼英文论文写作器
置顶网页,AI英文论文润色,https://www.editage.cn/paperpal?utm_source=yanweb&utm_medium=Banner&utm_campaign=Banner,https://yanweb.top/assets/img/svg/editage.jpg,AI英文论文润色
置顶网页,工具导航,https://www.yanweb.top/more/tool/,SVG icon,工具导航
置顶网页,微信群聊,https://www.yanweb.top/more/wechat,SVG icon,微信群聊
置顶网页,赞赏本站,https://www.yanweb.top/more/donate/,SVG icon,赞赏本站
学术GPT,AI论文一键生成,https://ibiling.cn/paper?from=kyfwpaper2,https://yanweb.top/assets/img/svg/ibiling2.png,AI论文一键生成
学术GPT,免费 AI 写作,https://ibiling.cn/?from=kyfw,https://yanweb.top/assets/img/svg/1280X1280.png,免费 AI 写作
学术GPT,中科院学术GPT,https://www.academic.yanweb.top/,SVG icon,中科院学术GPT
学术GPT,Chatbox AI,https://www.ai-age.yanweb.top/?id=4,https://yanweb.top/assets/img/svg/chatbox.png,Chatbox AI
学术GPT,PDFMathTranslate,https://www.ai-age.yanweb.top/?id=5,SVG icon,PDFMathTranslate
学术GPT,NextChat,http://www.gpt.yanweb.top/,https://yanweb.top/assets/img/svg/nextchat.png,NextChat
学术GPT,使用说明,https://www.bbs.yanweb.top/d/96,SVG icon,使用说明
学术GPT,视频演示,https://www.bilibili.com/video/BV1V517Y4Ehv,SVG icon,视频演示
满血DeepSeek,Trae AI自动编程,https://www.trae.com.cn/?utm_source=advertising&utm_medium=yanweb_ug_cpa&utm_term=hw_trae_yanweb,https://yanweb.top/assets/img/svg/trae.png,Trae AI自动编程
满血DeepSeek,DeepSeek官方,https://chat.deepseek.com/,https://yanweb.top/assets/img/svg/deepseek.jpg,DeepSeek官方
满血DeepSeek,腾讯元宝,https://yuanbao.tencent.com/chat/,https://yanweb.top/assets/img/svg/deepseek.jpg,腾讯元宝
满血DeepSeek,华为小艺,https://xiaoyi.huawei.com/chat/,https://yanweb.top/assets/img/svg/xiaoyi.png,华为小艺
满血DeepSeek,超算互联网,https://www.scnet.cn/ui/chatbot/#/chat,https://yanweb.top/assets/img/svg/scnet.png,超算互联网
满血DeepSeek,秘塔AI,https://metaso.cn/,https://yanweb.top/assets/img/svg/metaso.png,秘塔AI
